//Energy    dEnergy FWHM    dFWHM   Area    dArea   Detector 90 deg 
2.124473e+03   1.000000e-01   0.000000e+00   0.000000e+00   4.078225e+04   7.462939e+02
4.444030e+03   1.000000e-01   0.000000e+00   0.000000e+00   3.094258e+04   3.812800e+02
5.018980e+03   1.000000e-01   0.000000e+00   0.000000e+00   2.433214e+04   3.772641e+02
7.282920e+03   1.000000e-01   0.000000e+00   0.000000e+00   4.419000e+03   2.630000e+02
8.916670e+03   1.000000e-01   0.000000e+00   0.000000e+00   2.717000e+03   7.500000e+01
//   NEXT DETECTOR                                  Detector 130 deg
2.124473e+03   1.000000e-01   0.000000e+00   0.000000e+00   6.545932e+04   1.061875e+03
4.444030e+03   1.000000e-01   0.000000e+00   0.000000e+00   5.160773e+04   6.140699e+02
5.018980e+03   1.000000e-01   0.000000e+00   0.000000e+00   4.267214e+04   3.036711e+02
7.282920e+03   1.000000e-01   0.000000e+00   0.000000e+00   7.931000e+03   1.630000e+02
8.916670e+03   1.000000e-01   0.000000e+00   0.000000e+00   4.977000e+03   1.000000e+02
