//              Energy             dEnergy          Efficiency         dEfficiency
             787.743               0.005               46209             1715.43
              846.77               0.002             55510.3              17.705
             977.372               0.005             73681.8             317.511
             1037.84               0.004             80940.6             63.0868
             1140.37               0.006             99674.2             2965.91
              1175.1               0.004             94977.8             233.023
             1238.29               0.003             99775.9             28.0752
              1335.4               0.003              105163             1624.49
             1360.21               0.004              106075             127.275
             1442.75               0.006              113036             1444.44
             1462.32               0.006              110155             2729.73
             1640.47               0.005              116843             4261.36
             1771.36               0.004              116994             65.2724
             1810.76               0.004              119213             517.969
             1963.74               0.008              117805             472.419
             2015.21               0.005              116882             151.093
             2034.79               0.005              116269             89.9151
             2113.14               0.005              116891             681.698
             2212.94               0.004              115510             578.608
             2276.13               0.004              116856             1834.75
             2523.09               0.011              111746             3025.42
              2598.5               0.004              107679             57.4794
             3009.64               0.004              103021             293.153
             3202.03               0.008             94514.3             126.752
              3253.5               0.004             93310.5             77.9516
             3273.08               0.004             92730.2             163.825
             3451.23               0.004             89184.2             222.105
             3548.05               0.006             86876.3             506.135
              3600.8               0.004             89640.7             2335.33
             3611.53               0.003             87674.4             3720.93
