//For some of the transitions a uncertainty are missing so the uncertainty has been set to 1keV
//E_x/keV	E_f/keV     E_Gamma/keV dE_Gamma/keV	J_i		J_f	      Gamma/eV   dGamma/eV		Branch		dBranch   W(90)   W(130)         Took Data from NNDC 10.10.2017
2124.6900	0.0000    	2124.4730	0.0270    	0.5000		1.5000		0.1170		0.0040		1.0000		0.0000    1       1
4444.9800	0.0000    	4444.0300	0.0800   	2.5000		1.5000		0.5500		0.0500		1.0000		0.0000    1       1
5020.3000	0.0000    	5018.9800	0.4000      1.5000		1.5000		1.9700		0.0700		0.8560		0.0060    0.938   1.014
5020.3000	2124.6900	2895.3000	0.4000    	1.5000		0.5000		1.9700		0.0700		0.1440		0.0060    1       1
6741.8500	0.0000    	6739.5300	0.1600   	3.5000		1.5000		0.0300		0.0070		0.7000		0.0200    1       1
6741.8500	4444.9800	2296.6300	0.1300    	3.5000		2.5000		0.0300		0.0070		0.3000		0.0200    1       1
6791.8000	0.0000    	6789.8100	0.5000   	0.5000		1.5000		0.3900		0.0500		0.6750		0.0110    1       1
6791.8000	2124.6900	4665.9000	0.4000    	0.5000		0.5000		0.3900		0.0500		0.2850		0.0110    1       1
6791.8000	5020.3000	1771.3100	0.3000    	0.5000		1.5000		0.3900		0.0500		0.0400		0.0030    1       1
7285.5100	0.0000    	7282.9200	1.0000   	2.5000		1.5000		1.1400		0.0800		0.8700		0.0200    0.931   1.016
7285.5100	4444.9800	2840.2300	1.0000    	2.5000		2.5000		1.1400		0.0800		0.0550		0.0100    1       1
7285.5100	5020.3000	2264.9000	1.0000    	2.5000		1.5000		1.1400		0.0800		0.0750		0.0100    1       1
7977.8400   0.0000      7974.7300   1.0000      1.5000      1.5000      1.1500      0.1500      0.4620      0.0110    1       1
7977.8400   2124.6900   5851.4700   0.4200      1.5000      0.5000      1.1500      0.1500      0.5320      0.0120    1       1
7977.8400   7285.51     692.3100    0.1000      1.5000      2.5000      1.1500      0.1500      0.0085      0.0004    1       1 
8560.1000   0.0000      8556.7000   1.0000      1.5000      1.5000      1.0000      0.0900      0.5600      0.0200    1       1
8560.1000   2124.6900   6433.6000   1.0000      1.5000      0.5000      1.0000      0.0900      0.3000      0.0200    1       1
8560.1000   4444.9800   4114.6000   1.0000      1.5000      2.5000      1.0000      0.0900      0.0500      0.0100    1       1
8560.1000   5020.3000   3539.3800   1.0000      1.5000      1.5000      1.0000      0.0900      0.0900      0.0100    1       1
8920.4700	0.0000    	8916.6700	0.1600   	2.5000		1.5000		4.3740		0.0230		0.9500		0.0100    0.987   1.003   
8920.4700	4444.9800	4474.5000	0.3000    	2.5000		2.5000		4.3740		0.0230		0.0450		0.0050    1       1      
