//    E_Gamma/keV          W(90)         W(130)
      2124.4730              1              1
      4444.0300              1              1
      5018.9800          0.938          1.014
      2895.3000              1              1
      6739.5300              1              1
      2296.6300              1              1
      6789.8100              1              1
      4665.9000              1              1
      1771.3100              1              1
      7282.9200          0.931          1.016
      2840.2300              1              1
      2264.9000              1              1
      7974.7300              1              1
      5851.4700              1              1
       692.3100              1              1
      8556.7000              1              1
      6433.6000              1              1
      4114.6000              1              1
      3539.3800              1              1
      8916.6700          0.987          1.003
      4474.5000              1              1
